station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2023-07-31 12:00:00,9,1012.0,20.0,12.0,11.5,0.0,0,359.0,0.0
KOKX,2023-07-31 12:00:00,6,1001.0,M,M,M,325.0,9,144.0,0.0
KOKX,2023-07-31 12:00:00,4,1000.0,122.0,20.2,17.5,325.0,9,142.0,0.0
KOKX,2023-07-31 12:00:00,5,999.0,130.0,20.0,17.2,M,M,142.0,0.0
KOKX,2023-07-31 12:00:00,5,991.0,200.0,19.8,15.4,M,M,142.0,0.0
KOKX,2023-07-31 12:00:00,6,979.0,M,M,M,320.0,6,142.0,0.0
KOKX,2023-07-31 12:00:00,6,978.7,305.0,M,M,325.0,6,142.0,0.0
KOKX,2023-07-31 12:00:00,6,959.0,M,M,M,285.0,5,137.0,0.0
KOKX,2023-07-31 12:00:00,5,958.0,491.0,18.6,8.6,M,M,136.0,0.0
KOKX,2023-07-31 12:00:00,5,950.0,563.0,18.1,8.0,M,M,133.0,0.0
KOKX,2023-07-31 12:00:00,6,946.0,M,M,M,300.0,6,132.0,0.0
KOKX,2023-07-31 12:00:00,6,944.5,610.0,M,M,300.0,6,132.0,0.0
KOKX,2023-07-31 12:00:00,5,942.0,635.0,17.4,7.4,M,M,131.0,0.0
KOKX,2023-07-31 12:00:00,4,925.0,790.0,16.0,7.0,335.0,5,132.0,0.0
KOKX,2023-07-31 12:00:00,6,913.0,M,M,M,330.0,6,135.0,0.0
KOKX,2023-07-31 12:00:00,6,911.4,914.0,M,M,330.0,6,135.0,0.0
KOKX,2023-07-31 12:00:00,6,904.0,M,M,M,345.0,6,137.0,0.0
KOKX,2023-07-31 12:00:00,6,879.0,1219.0,M,M,320.0,7,140.0,0.0
KOKX,2023-07-31 12:00:00,5,863.0,1375.0,10.8,6.2,M,M,138.0,0.0
KOKX,2023-07-31 12:00:00,4,850.0,1501.0,9.8,3.8,290.0,11,135.0,0.0
KOKX,2023-07-31 12:00:00,5,827.0,1728.0,8.2,0.2,M,M,129.0,0.0
KOKX,2023-07-31 12:00:00,6,817.0,M,M,M,290.0,20,126.0,0.0
KOKX,2023-07-31 12:00:00,6,816.7,1829.0,M,M,290.0,18,126.0,0.0
KOKX,2023-07-31 12:00:00,5,812.0,1879.0,8.4,-6.6,M,M,125.0,0.0
KOKX,2023-07-31 12:00:00,6,790.0,M,M,M,300.0,18,123.0,1.0
KOKX,2023-07-31 12:00:00,6,787.0,2134.0,M,M,300.0,18,123.0,1.0
KOKX,2023-07-31 12:00:00,5,773.0,2284.0,5.2,-3.8,M,M,123.0,1.0
KOKX,2023-07-31 12:00:00,5,760.0,2422.0,4.6,-6.4,M,M,123.0,1.0
KOKX,2023-07-31 12:00:00,6,758.3,2438.0,M,M,305.0,22,123.0,1.0
KOKX,2023-07-31 12:00:00,6,740.0,M,M,M,310.0,23,123.0,1.0
KOKX,2023-07-31 12:00:00,6,730.3,2743.0,M,M,305.0,23,124.0,1.0
KOKX,2023-07-31 12:00:00,5,704.0,3041.0,1.6,-18.4,M,M,123.0,2.0
KOKX,2023-07-31 12:00:00,4,700.0,3087.0,1.8,-17.2,300.0,28,123.0,2.0
KOKX,2023-07-31 12:00:00,5,685.0,3262.0,1.8,-21.2,M,M,122.0,2.0
KOKX,2023-07-31 12:00:00,6,681.0,M,M,M,280.0,36,121.0,2.0
KOKX,2023-07-31 12:00:00,6,676.8,3353.0,M,M,280.0,36,120.0,2.0
KOKX,2023-07-31 12:00:00,5,652.0,3658.0,-0.1,-27.1,M,M,117.0,3.0
KOKX,2023-07-31 12:00:00,6,651.6,3658.0,M,M,280.0,31,117.0,3.0
KOKX,2023-07-31 12:00:00,6,650.0,M,M,M,285.0,30,117.0,3.0
KOKX,2023-07-31 12:00:00,5,609.0,4200.0,-3.9,-14.9,285.0,35,114.0,4.0
KOKX,2023-07-31 12:00:00,6,603.5,4267.0,M,M,285.0,34,114.0,4.0
KOKX,2023-07-31 12:00:00,5,578.0,4610.0,-5.9,-22.9,M,M,112.0,4.0
KOKX,2023-07-31 12:00:00,6,558.3,4877.0,M,M,270.0,36,110.0,5.0
KOKX,2023-07-31 12:00:00,6,532.0,M,M,M,265.0,42,107.0,6.0
KOKX,2023-07-31 12:00:00,5,511.0,5559.0,-14.5,-21.5,M,M,105.0,6.0
KOKX,2023-07-31 12:00:00,4,500.0,5724.0,-15.9,-24.9,270.0,43,104.0,7.0
KOKX,2023-07-31 12:00:00,5,497.0,5769.0,-15.7,-27.7,M,M,104.0,7.0
KOKX,2023-07-31 12:00:00,5,489.0,5891.0,-15.1,-37.1,M,M,104.0,7.0
KOKX,2023-07-31 12:00:00,6,475.7,6096.0,M,M,275.0,41,103.0,8.0
KOKX,2023-07-31 12:00:00,6,462.0,M,M,M,275.0,40,102.0,8.0
KOKX,2023-07-31 12:00:00,6,408.0,M,M,M,265.0,55,99.0,10.0
KOKX,2023-07-31 12:00:00,6,403.6,7315.0,M,M,265.0,55,99.0,11.0
KOKX,2023-07-31 12:00:00,4,400.0,7380.0,-23.3,M,265.0,56,99.0,11.0
KOKX,2023-07-31 12:00:00,5,390.0,M,-23.9,M,M,M,98.0,11.0
KOKX,2023-07-31 12:00:00,6,387.1,7620.0,M,M,260.0,60,98.0,12.0
KOKX,2023-07-31 12:00:00,6,378.0,M,M,M,260.0,70,97.0,12.0
KOKX,2023-07-31 12:00:00,6,341.1,8534.0,M,M,255.0,79,93.0,15.0
KOKX,2023-07-31 12:00:00,6,329.0,M,M,M,255.0,83,92.0,16.0
KOKX,2023-07-31 12:00:00,6,313.2,9144.0,M,M,255.0,85,90.0,18.0
KOKX,2023-07-31 12:00:00,4,300.0,9450.0,-33.9,M,250.0,87,89.0,19.0
KOKX,2023-07-31 12:00:00,6,270.0,M,M,M,250.0,99,86.0,23.0
KOKX,2023-07-31 12:00:00,6,263.1,10363.0,M,M,250.0,99,85.0,24.0
