station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2023-07-21 12:00:00,9,1008.0,20.0,19.2,18.9,0.0,0,359.0,0.0
KOKX,2023-07-21 12:00:00,4,1000.0,89.0,22.4,21.3,165.0,11,344.0,0.0
KOKX,2023-07-21 12:00:00,6,996.0,M,M,M,165.0,11,344.0,0.0
KOKX,2023-07-21 12:00:00,5,993.0,150.0,22.2,20.5,M,M,343.0,0.0
KOKX,2023-07-21 12:00:00,5,976.0,301.0,21.0,18.9,185.0,14,352.0,0.0
KOKX,2023-07-21 12:00:00,6,975.2,305.0,M,M,185.0,14,352.0,0.0
KOKX,2023-07-21 12:00:00,5,960.0,444.0,19.8,17.9,M,M,359.0,0.0
KOKX,2023-07-21 12:00:00,5,944.0,589.0,19.4,16.4,M,M,7.0,0.0
KOKX,2023-07-21 12:00:00,6,942.0,M,M,M,210.0,17,8.0,0.0
KOKX,2023-07-21 12:00:00,6,941.4,610.0,M,M,210.0,17,8.0,0.0
KOKX,2023-07-21 12:00:00,4,925.0,764.0,19.4,13.4,210.0,16,13.0,0.0
KOKX,2023-07-21 12:00:00,5,914.0,868.0,19.6,12.6,M,M,15.0,0.0
KOKX,2023-07-21 12:00:00,6,910.0,M,M,M,205.0,15,16.0,0.0
KOKX,2023-07-21 12:00:00,6,908.7,914.0,M,M,200.0,15,16.0,0.0
KOKX,2023-07-21 12:00:00,5,892.0,1077.0,18.6,10.6,M,M,17.0,0.0
KOKX,2023-07-21 12:00:00,6,877.0,1219.0,M,M,220.0,10,19.0,0.0
KOKX,2023-07-21 12:00:00,4,850.0,1489.0,15.2,11.2,230.0,12,23.0,1.0
KOKX,2023-07-21 12:00:00,5,835.0,1640.0,13.8,10.7,M,M,26.0,1.0
KOKX,2023-07-21 12:00:00,6,816.2,1829.0,M,M,245.0,16,30.0,1.0
KOKX,2023-07-21 12:00:00,6,801.0,M,M,M,255.0,20,34.0,1.0
KOKX,2023-07-21 12:00:00,6,790.0,M,M,M,245.0,20,37.0,1.0
KOKX,2023-07-21 12:00:00,6,787.0,2134.0,M,M,245.0,20,38.0,1.0
KOKX,2023-07-21 12:00:00,6,758.8,2438.0,M,M,245.0,19,42.0,1.0
KOKX,2023-07-21 12:00:00,5,742.0,2625.0,7.2,5.3,M,M,44.0,2.0
KOKX,2023-07-21 12:00:00,6,731.3,2743.0,M,M,240.0,24,45.0,2.0
KOKX,2023-07-21 12:00:00,5,724.0,2827.0,6.2,1.2,M,M,46.0,2.0
KOKX,2023-07-21 12:00:00,5,718.0,2895.0,6.0,1.5,M,M,47.0,2.0
KOKX,2023-07-21 12:00:00,5,713.0,2953.0,6.0,-1.0,M,M,47.0,2.0
KOKX,2023-07-21 12:00:00,4,700.0,3103.0,5.0,0.0,235.0,27,48.0,2.0
KOKX,2023-07-21 12:00:00,5,694.0,3173.0,4.8,-2.2,M,M,48.0,2.0
KOKX,2023-07-21 12:00:00,6,674.0,M,M,M,215.0,29,47.0,3.0
KOKX,2023-07-21 12:00:00,5,665.0,3520.0,2.4,-2.4,M,M,46.0,3.0
KOKX,2023-07-21 12:00:00,5,659.0,3593.0,2.0,-4.0,M,M,46.0,3.0
KOKX,2023-07-21 12:00:00,6,653.6,3658.0,M,M,210.0,27,45.0,3.0
KOKX,2023-07-21 12:00:00,5,635.0,3892.0,-0.5,-4.1,M,M,44.0,3.0
KOKX,2023-07-21 12:00:00,5,617.0,4121.0,-1.3,-8.3,M,M,44.0,4.0
KOKX,2023-07-21 12:00:00,6,611.0,M,M,M,225.0,28,44.0,4.0
KOKX,2023-07-21 12:00:00,6,605.7,4267.0,M,M,225.0,28,44.0,4.0
KOKX,2023-07-21 12:00:00,5,602.0,4317.0,-2.5,-6.5,M,M,44.0,4.0
KOKX,2023-07-21 12:00:00,6,590.0,M,M,M,210.0,27,43.0,4.0
KOKX,2023-07-21 12:00:00,6,582.9,4572.0,M,M,210.0,27,43.0,4.0
KOKX,2023-07-21 12:00:00,5,572.0,4721.0,-5.1,-10.1,M,M,42.0,5.0
KOKX,2023-07-21 12:00:00,6,560.7,4877.0,M,M,215.0,29,42.0,5.0
KOKX,2023-07-21 12:00:00,5,552.0,4999.0,-6.9,-12.9,M,M,42.0,5.0
KOKX,2023-07-21 12:00:00,6,521.0,M,M,M,220.0,34,41.0,6.0
KOKX,2023-07-21 12:00:00,6,518.4,5486.0,M,M,220.0,34,41.0,6.0
KOKX,2023-07-21 12:00:00,5,516.0,5522.0,-11.1,-13.9,M,M,41.0,6.0
