station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2023-07-21 00:00:00,9,1011.0,20.0,24.2,20.7,0.0,0,359.0,0.0
KOKX,2023-07-21 00:00:00,4,1000.0,116.0,23.0,18.3,170.0,8,344.0,0.0
KOKX,2023-07-21 00:00:00,6,999.0,M,M,M,170.0,8,347.0,0.0
KOKX,2023-07-21 00:00:00,5,996.0,151.0,23.0,18.0,M,M,347.0,0.0
KOKX,2023-07-21 00:00:00,6,979.0,M,M,M,150.0,11,340.0,0.0
KOKX,2023-07-21 00:00:00,6,978.3,305.0,M,M,150.0,10,341.0,0.0
KOKX,2023-07-21 00:00:00,6,946.0,M,M,M,140.0,6,333.0,0.0
KOKX,2023-07-21 00:00:00,6,944.5,610.0,M,M,140.0,5,333.0,0.0
KOKX,2023-07-21 00:00:00,6,930.0,M,M,M,110.0,5,329.0,0.0
KOKX,2023-07-21 00:00:00,5,929.0,756.0,20.3,14.2,M,M,329.0,0.0
KOKX,2023-07-21 00:00:00,4,925.0,793.0,20.2,13.2,105.0,4,328.0,0.0
KOKX,2023-07-21 00:00:00,6,913.0,M,M,M,135.0,3,325.0,0.0
KOKX,2023-07-21 00:00:00,6,911.9,914.0,M,M,150.0,3,325.0,0.0
KOKX,2023-07-21 00:00:00,6,893.0,M,M,M,195.0,1,326.0,0.0
KOKX,2023-07-21 00:00:00,6,881.0,M,M,M,255.0,3,328.0,0.0
KOKX,2023-07-21 00:00:00,6,880.1,1219.0,M,M,260.0,3,328.0,0.0
KOKX,2023-07-21 00:00:00,5,880.0,1222.0,18.2,7.2,M,M,328.0,0.0
KOKX,2023-07-21 00:00:00,6,858.0,M,M,M,215.0,4,335.0,0.0
KOKX,2023-07-21 00:00:00,4,850.0,1518.0,15.6,8.6,235.0,4,338.0,0.0
KOKX,2023-07-21 00:00:00,6,849.2,1524.0,M,M,215.0,4,338.0,0.0
KOKX,2023-07-21 00:00:00,6,834.0,M,M,M,270.0,5,344.0,0.0
