station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2023-07-31 00:00:00,9,1011.0,20.0,21.4,13.4,0.0,0,359.0,0.0
KOKX,2023-07-31 00:00:00,5,1007.0,54.0,22.6,13.6,M,M,180.0,0.0
KOKX,2023-07-31 00:00:00,6,1001.0,M,M,M,300.0,6,122.0,0.0
KOKX,2023-07-31 00:00:00,4,1000.0,115.0,22.6,11.6,300.0,6,122.0,0.0
KOKX,2023-07-31 00:00:00,5,983.0,264.0,21.4,9.4,M,M,140.0,0.0
KOKX,2023-07-31 00:00:00,6,979.0,M,M,M,340.0,14,143.0,0.0
KOKX,2023-07-31 00:00:00,6,978.4,305.0,M,M,340.0,14,145.0,0.0
KOKX,2023-07-31 00:00:00,6,945.0,M,M,M,335.0,12,153.0,0.0
KOKX,2023-07-31 00:00:00,6,944.3,610.0,M,M,335.0,12,153.0,0.0
KOKX,2023-07-31 00:00:00,4,925.0,786.0,16.4,7.4,330.0,13,153.0,0.0
KOKX,2023-07-31 00:00:00,6,913.0,M,M,M,335.0,13,153.0,0.0
KOKX,2023-07-31 00:00:00,6,911.3,914.0,M,M,335.0,13,153.0,0.0
KOKX,2023-07-31 00:00:00,6,878.9,1219.0,M,M,320.0,13,151.0,0.0
KOKX,2023-07-31 00:00:00,6,860.0,M,M,M,320.0,15,149.0,0.0
KOKX,2023-07-31 00:00:00,4,850.0,1497.0,9.8,5.4,320.0,14,149.0,0.0
KOKX,2023-07-31 00:00:00,5,840.0,1595.0,9.0,5.2,M,M,148.0,1.0
KOKX,2023-07-31 00:00:00,5,828.0,1715.0,8.2,1.2,M,M,148.0,1.0
KOKX,2023-07-31 00:00:00,6,821.0,M,M,M,335.0,13,148.0,1.0
KOKX,2023-07-31 00:00:00,6,816.7,1829.0,M,M,330.0,13,148.0,1.0
KOKX,2023-07-31 00:00:00,6,810.0,M,M,M,320.0,10,148.0,1.0
KOKX,2023-07-31 00:00:00,6,800.0,M,M,M,335.0,7,148.0,1.0
KOKX,2023-07-31 00:00:00,6,790.0,M,M,M,305.0,8,148.0,1.0
KOKX,2023-07-31 00:00:00,6,787.0,2134.0,M,M,300.0,8,147.0,1.0
KOKX,2023-07-31 00:00:00,5,782.0,2186.0,7.2,-7.8,M,M,147.0,1.0
KOKX,2023-07-31 00:00:00,6,780.0,M,M,M,320.0,6,147.0,1.0
KOKX,2023-07-31 00:00:00,5,763.0,2387.0,6.2,-9.8,M,M,147.0,1.0
KOKX,2023-07-31 00:00:00,6,758.4,2438.0,M,M,320.0,9,147.0,1.0
KOKX,2023-07-31 00:00:00,6,731.0,M,M,M,325.0,12,146.0,1.0
KOKX,2023-07-31 00:00:00,6,730.6,2743.0,M,M,320.0,12,146.0,1.0
KOKX,2023-07-31 00:00:00,5,723.0,2827.0,4.4,-14.6,M,M,146.0,1.0
KOKX,2023-07-31 00:00:00,4,700.0,3090.0,4.8,-33.2,290.0,12,144.0,1.0
KOKX,2023-07-31 00:00:00,6,664.0,M,M,M,285.0,17,138.0,2.0
KOKX,2023-07-31 00:00:00,6,652.7,3658.0,M,M,290.0,17,136.0,2.0
KOKX,2023-07-31 00:00:00,6,639.0,M,M,M,285.0,19,134.0,2.0
KOKX,2023-07-31 00:00:00,6,610.0,M,M,M,280.0,23,130.0,2.0
KOKX,2023-07-31 00:00:00,6,605.0,4267.0,M,M,280.0,23,129.0,2.0
KOKX,2023-07-31 00:00:00,5,588.0,4492.0,-1.5,-50.5,M,M,126.0,3.0
KOKX,2023-07-31 00:00:00,6,560.3,4877.0,M,M,280.0,32,122.0,3.0
KOKX,2023-07-31 00:00:00,5,556.0,4935.0,-4.3,-40.3,M,M,121.0,3.0
KOKX,2023-07-31 00:00:00,6,529.0,M,M,M,285.0,36,118.0,4.0
KOKX,2023-07-31 00:00:00,5,515.0,5533.0,-8.7,-33.7,M,M,117.0,4.0
KOKX,2023-07-31 00:00:00,5,507.0,5654.0,-9.7,-35.7,M,M,117.0,5.0
KOKX,2023-07-31 00:00:00,4,500.0,5761.0,-10.3,-31.3,285.0,35,116.0,5.0
KOKX,2023-07-31 00:00:00,5,498.0,5792.0,-10.3,-31.3,M,M,116.0,5.0
KOKX,2023-07-31 00:00:00,5,490.0,5916.0,-10.9,-34.9,M,M,115.0,5.0
KOKX,2023-07-31 00:00:00,6,478.6,6096.0,M,M,275.0,38,114.0,5.0
KOKX,2023-07-31 00:00:00,5,473.0,6186.0,-13.1,-31.1,M,M,114.0,6.0
KOKX,2023-07-31 00:00:00,5,470.0,6235.0,-13.5,-32.5,M,M,113.0,6.0
KOKX,2023-07-31 00:00:00,6,446.0,M,M,M,270.0,47,110.0,7.0
KOKX,2023-07-31 00:00:00,6,426.0,M,M,M,265.0,45,108.0,7.0
KOKX,2023-07-31 00:00:00,6,424.0,7010.0,M,M,265.0,45,108.0,8.0
KOKX,2023-07-31 00:00:00,5,410.0,7260.0,-19.7,-50.7,M,M,106.0,8.0
KOKX,2023-07-31 00:00:00,4,400.0,7440.0,-20.1,M,255.0,57,104.0,9.0
KOKX,2023-07-31 00:00:00,5,398.0,M,-20.3,M,M,M,104.0,9.0
KOKX,2023-07-31 00:00:00,6,390.4,7620.0,M,M,255.0,57,102.0,9.0
KOKX,2023-07-31 00:00:00,5,380.0,M,-22.3,M,M,M,101.0,10.0
KOKX,2023-07-31 00:00:00,6,377.0,M,M,M,260.0,64,100.0,10.0
KOKX,2023-07-31 00:00:00,5,372.0,7978.0,-22.5,-47.5,M,M,100.0,10.0
KOKX,2023-07-31 00:00:00,6,359.3,8230.0,M,M,260.0,70,98.0,11.0
KOKX,2023-07-31 00:00:00,5,333.0,8781.0,-27.9,-41.9,250.0,78,94.0,13.0
KOKX,2023-07-31 00:00:00,5,322.0,9022.0,-29.5,-50.5,M,M,92.0,14.0
KOKX,2023-07-31 00:00:00,5,320.0,9066.0,-29.7,-48.7,M,M,92.0,14.0
KOKX,2023-07-31 00:00:00,6,316.5,9144.0,M,M,245.0,79,91.0,15.0
KOKX,2023-07-31 00:00:00,4,300.0,9530.0,-31.5,M,245.0,85,89.0,16.0
KOKX,2023-07-31 00:00:00,5,295.0,9643.0,-31.9,-67.9,M,M,88.0,17.0
KOKX,2023-07-31 00:00:00,6,294.0,M,M,M,245.0,88,88.0,17.0
KOKX,2023-07-31 00:00:00,6,290.6,9754.0,M,M,245.0,88,87.0,17.0
KOKX,2023-07-31 00:00:00,6,288.0,M,M,M,245.0,95,87.0,18.0
KOKX,2023-07-31 00:00:00,5,284.0,9911.0,-33.3,-51.3,M,M,86.0,18.0
KOKX,2023-07-31 00:00:00,6,278.3,10058.0,M,M,245.0,95,85.0,19.0
KOKX,2023-07-31 00:00:00,5,262.0,10473.0,-36.5,-71.5,M,M,83.0,21.0
KOKX,2023-07-31 00:00:00,5,259.0,10553.0,-36.9,-71.9,M,M,83.0,21.0
KOKX,2023-07-31 00:00:00,6,254.9,10668.0,M,M,245.0,88,83.0,22.0
KOKX,2023-07-31 00:00:00,4,250.0,10797.0,-37.9,-72.9,250.0,86,82.0,22.0
KOKX,2023-07-31 00:00:00,5,248.0,10852.0,-38.1,-73.1,M,M,82.0,22.0
KOKX,2023-07-31 00:00:00,5,242.0,11020.0,-39.1,-73.1,M,M,82.0,23.0
KOKX,2023-07-31 00:00:00,6,241.0,M,M,M,250.0,82,82.0,23.0
KOKX,2023-07-31 00:00:00,5,238.0,11134.0,-39.5,-73.5,M,M,81.0,24.0
KOKX,2023-07-31 00:00:00,5,215.0,11822.0,-44.1,-77.1,M,M,80.0,27.0
KOKX,2023-07-31 00:00:00,6,210.0,M,M,M,255.0,74,80.0,27.0
KOKX,2023-07-31 00:00:00,5,205.0,12140.0,-46.5,-78.5,M,M,80.0,28.0
KOKX,2023-07-31 00:00:00,6,203.6,12192.0,M,M,255.0,74,80.0,28.0
KOKX,2023-07-31 00:00:00,4,200.0,12303.0,-47.7,-79.7,255.0,73,80.0,29.0
KOKX,2023-07-31 00:00:00,5,194.0,12504.0,-49.1,-80.1,M,M,80.0,29.0
KOKX,2023-07-31 00:00:00,6,189.0,M,M,M,255.0,68,80.0,30.0
KOKX,2023-07-31 00:00:00,6,168.8,13411.0,M,M,260.0,71,79.0,33.0
KOKX,2023-07-31 00:00:00,6,168.0,M,M,M,260.0,69,79.0,33.0
KOKX,2023-07-31 00:00:00,5,161.0,13704.0,-57.1,-87.1,M,M,79.0,34.0
KOKX,2023-07-31 00:00:00,4,150.0,14149.0,-59.7,-88.7,255.0,62,79.0,36.0
KOKX,2023-07-31 00:00:00,5,146.0,14317.0,-61.1,-89.1,M,M,79.0,36.0
KOKX,2023-07-31 00:00:00,6,138.8,14630.0,M,M,250.0,65,79.0,37.0
KOKX,2023-07-31 00:00:00,5,138.0,14666.0,-62.9,-90.9,M,M,79.0,37.0
KOKX,2023-07-31 00:00:00,5,131.0,14986.0,-63.3,-91.3,M,M,79.0,38.0
KOKX,2023-07-31 00:00:00,6,126.0,M,M,M,255.0,54,79.0,39.0
KOKX,2023-07-31 00:00:00,6,125.7,15240.0,M,M,260.0,56,79.0,39.0
KOKX,2023-07-31 00:00:00,5,124.0,15322.0,-64.3,-92.3,M,M,79.0,39.0
KOKX,2023-07-31 00:00:00,5,121.0,15472.0,-64.9,-92.9,M,M,79.0,40.0
KOKX,2023-07-31 00:00:00,6,120.0,M,M,M,255.0,60,79.0,40.0
KOKX,2023-07-31 00:00:00,5,119.0,15573.0,-64.9,-92.9,M,M,79.0,40.0
