station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2023-08-10 00:00:00,5,286.0,9766.0,-42.5,-46.1,M,M,117.0,13.0
KOKX,2023-08-10 00:00:00,6,278.0,M,M,M,300.0,58,117.0,14.0
KOKX,2023-08-10 00:00:00,5,256.0,10505.0,-48.1,-58.1,M,M,117.0,16.0
KOKX,2023-08-10 00:00:00,5,252.0,10609.0,-48.7,-58.7,M,M,118.0,16.0
KOKX,2023-08-10 00:00:00,4,250.0,10661.0,-48.5,-59.5,310.0,40,118.0,16.0
KOKX,2023-08-10 00:00:00,6,249.7,10668.0,M,M,310.0,46,118.0,16.0
KOKX,2023-08-10 00:00:00,6,244.0,M,M,M,305.0,35,118.0,16.0
KOKX,2023-08-10 00:00:00,6,238.4,10973.0,M,M,305.0,35,118.0,17.0
KOKX,2023-08-10 00:00:00,6,231.0,M,M,M,300.0,48,118.0,17.0
KOKX,2023-08-10 00:00:00,5,230.0,11206.0,-50.9,-63.9,M,M,118.0,17.0
KOKX,2023-08-10 00:00:00,5,222.0,11436.0,-52.3,-65.3,305.0,52,118.0,18.0
KOKX,2023-08-10 00:00:00,6,216.0,M,M,M,305.0,56,118.0,18.0
KOKX,2023-08-10 00:00:00,5,211.0,11765.0,-50.9,-64.9,M,M,119.0,19.0
KOKX,2023-08-10 00:00:00,6,207.2,11887.0,M,M,305.0,56,119.0,19.0
KOKX,2023-08-10 00:00:00,4,200.0,12114.0,-50.5,-66.5,300.0,48,119.0,20.0
KOKX,2023-08-10 00:00:00,5,191.0,12415.0,-49.7,-66.7,M,M,119.0,21.0
KOKX,2023-08-10 00:00:00,5,186.0,12588.0,-50.1,-68.1,M,M,119.0,21.0
KOKX,2023-08-10 00:00:00,6,185.0,M,M,M,290.0,35,119.0,21.0
KOKX,2023-08-10 00:00:00,6,180.2,12802.0,M,M,290.0,35,118.0,21.0
KOKX,2023-08-10 00:00:00,5,178.0,12876.0,-48.7,-67.7,M,M,118.0,21.0
KOKX,2023-08-10 00:00:00,6,171.0,M,M,M,285.0,47,118.0,22.0
KOKX,2023-08-10 00:00:00,6,164.2,13411.0,M,M,285.0,47,118.0,23.0
KOKX,2023-08-10 00:00:00,6,151.0,M,M,M,275.0,41,117.0,24.0
KOKX,2023-08-10 00:00:00,4,150.0,13992.0,-52.1,-74.1,275.0,41,117.0,24.0
KOKX,2023-08-10 00:00:00,5,148.0,14078.0,-52.1,-75.1,M,M,116.0,24.0
KOKX,2023-08-10 00:00:00,5,142.0,14346.0,-52.7,-76.7,M,M,116.0,25.0
KOKX,2023-08-10 00:00:00,5,138.0,14530.0,-52.1,-76.1,280.0,36,116.0,25.0
KOKX,2023-08-10 00:00:00,6,129.0,M,M,M,285.0,28,115.0,26.0
KOKX,2023-08-10 00:00:00,6,123.8,15240.0,M,M,285.0,28,115.0,26.0
KOKX,2023-08-10 00:00:00,6,123.0,M,M,M,275.0,24,115.0,26.0
KOKX,2023-08-10 00:00:00,6,117.0,M,M,M,260.0,30,115.0,27.0
KOKX,2023-08-10 00:00:00,6,112.4,15850.0,M,M,260.0,30,114.0,27.0
KOKX,2023-08-10 00:00:00,5,111.0,15920.0,-58.1,-86.1,275.0,31,114.0,27.0
KOKX,2023-08-10 00:00:00,5,107.0,16151.0,-57.5,-86.5,M,M,114.0,28.0
KOKX,2023-08-10 00:00:00,5,106.0,16210.0,-57.7,-86.7,M,M,114.0,28.0
